sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-full,distance_modern,revised_distance,comment,place_uri,latitude,longitude,placetype,placetype_pleiades
99,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,,,Vtica,Utica,Utica,m. p.,VI,m. p. VI,6.0,8.88,,https://pleiades.stoa.org/places/315248,37.0558774503256,10.060007765147100,mansio,settlement
100,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,ad,,Ad Gallum Gallinacium,Ad Gall(inaci)um?,Ad Gall(inaci)um?,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/314849,36.905461,10.096435,mansio,station
101,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,,,Cartagine,Carthago,Carthago,m. p.,XV,m. p. XV,15.0,22.2,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,settlement
102,,23.1,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,sum-route,Item ab Tocolosida Tingi m. p. CXLVIII:,,,Tocolosida,Tocolosida,Tocolosida,,,,,,,https://pleiades.stoa.org/places/275737,34.0380963355639,-5.581181799211420,,
103,,23.1,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,sum-route,Item ab Tocolosida Tingi m. p. CXLVIII:,,,Tingi,Tingi,Tingi,m. p.,CXLVIII, m. p. CXLVIII,,,,https://pleiades.stoa.org/places/275736,35.787546,-5.8102335,,
104,,,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,,,Tocolosida,Tocolosida,Tocolosida,,,,0.0,0.0,,https://pleiades.stoa.org/places/275737,34.0380963355639,-5.581181799211420,,fort
105,,,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,,,Volubilis colonia,Volubilis,Volubilis,m. p.,IIII,m. p. IIII,4.0,5.92,,https://pleiades.stoa.org/places/275740,34.0728746739421,-5.554868564966930,colonia,settlement
106,,,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,,,Aquis Dacicis,Aquae Dacicae,Aquae Dacicae,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/275590,34.14657,-5.800742,,bath
107,,23.4,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,,,Gilda,Gilda,Gilda/Silda,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/278611,,,,unlocated
108,,23.5,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,,,Vopiscianis,Vopisciana,,m. p.,XXIII,m. p. XXIII,23.0,34.04,,No URI,,,,unknown
109,,,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,,,Tremulis,Tremuli,Tremuli,m. p.,XVIIII,m. p. XVIIII,19.0,28.12,,https://pleiades.stoa.org/places/275738,34.8205112518098,-5.951471422669310,,station
110,,,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,,,Oppido Novo,Oppidum Novum,Oppidum Novum,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/275685,35.008501,-5.902791,,settlement
111,,,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,ad,,Ad Novas,Ad Novas,Ad Novas,m. p.,XXXII,m. p. XXXII,32.0,47.36,Potentially associated with modern Souiyar,https://pleiades.stoa.org/places/275580,35.69404,-5.93182,,"station (road or coastal), settlement-modern"
112,,,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,ad,,Ad Mercurios,Mercurii,Ad Mercuri?,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/275579,35.508424,-5.839493,,station (road or coastal)
113,,,1. PROVINCIAE AFRICAE,Tocolosida-Tingis,route,,,,Tingi colonia,Tingis,Tingi,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/275736,35.787546,-5.8102335,colonia,"settlement, port"
115,,24.6,1. PROVINCIAE AFRICAE,Carthago-Cirta,sum-route,A Cartagine Cirta m. p. CCCXXI,,,Cartagine,Carthago,Carthago,,,,,,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,
116,,24.6,1. PROVINCIAE AFRICAE,Carthago-Cirta,sum-route,A Cartagine Cirta m. p. CCCXXI,,,Cirta,Cirta,Cirta/Constantina,m. p.,CCCXXI,m. p. CCCXXI,,,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.613302666666670,,
117,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,A Cartagine Vnuca m. p. XXII,,,Cartagine,Carthago,Carthago,,,,0.0,0.0,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,settlement
118,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Vnuca,Inuca,Inuca,m. p.,XXII,m. p. XXII,22.0,32.56,,https://pleiades.stoa.org/places/315044,36.728132,10.012412,,settlement
119,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Sicilibra,Sicilibra,Sicilibba,m. p.,VII,m. p. VII,7.0,10.36,,https://pleiades.stoa.org/places/315153,36.68588,9.873597,,settlement
120,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Vallis,Vallis,Vallis,m. p.,XV,m. p. XV,15.0,22.2,,https://pleiades.stoa.org/places/315254,36.6248409,9.7466495,,settlement
121,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Coreba,Choreva,Coreva,m. p.,XX,m. p. XX,20.0,29.6,,https://pleiades.stoa.org/places/314940,36.508717,9.4691485,,settlement
122,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Musti,Musti,Musti,m. p.,XXVIII,m. p. XXVIII,28.0,41.44,,https://pleiades.stoa.org/places/315085,36.336066,9.143109,,settlement
123,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Laribus colonia,Lares,Lares,m. p.,XXX,m. p. XXX,30.0,44.4,,https://pleiades.stoa.org/places/315061,36.081288,8.841397,colonia,settlement
124,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Altieuros,Altiburus,Althiburos,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/324664,35.8736831031998,8.786164031268350,,settlement
125,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Admedera colonia,Ammaedara,Ammaedara,m. p.,XXXII,m. p. XXXII,32.0,47.36,,https://pleiades.stoa.org/places/324665,35.56509,8.4524805,colonia,settlement
126,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Thebeste colonia,Theveste,Theveste,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/324831,35.404174,8.1223145,colonia,settlement
127,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Altaba,Altava,Altava,m. p.,XVIII,m. p. XVIII,18.0,26.64,See Altava 1 in Pauly Wissowa: https://de.wikisource.org/wiki/RE:Altava_1,https://www.wikidata.org/wiki/Q19985794,,,,unknown
128,,27.3,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Iusti,Iusti,,m. p.,XVIII,m. p. XVIII,18.0,26.64,,No URI,,,,unknown
129,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Marcimeni,Marcimeni,Marcimeni?,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,,https://pleiades.stoa.org/places/334586,35.796796,7.3928,municipium,settlement
130,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Macomadibus,Macomades,Macomades?,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,,https://pleiades.stoa.org/places/334583,35.8254,7.165181,,settlement
131,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Sigus,Sigus,Sigus,m. p.,XXVIII,m. p. XXVIII,28.0,41.44,,https://pleiades.stoa.org/places/305150,36.122312,6.78528,,settlement
132,,,1. PROVINCIAE AFRICAE,Carthago-Cirta,route,,,,Cirta colonia,Cirta,Cirta/Constantina,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.613302666666670,colonia,settlement
133,,24.7,1. PROVINCIAE AFRICAE,Cirta-Sitifis,sum-route,,,,,Cirta,Cirta/Constantina,,,,,,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.613302666666670,,
134,,24.7,1. PROVINCIAE AFRICAE,Cirta-Sitifis,sum-route,Sitifi m. p. C,,,Sitifi,Sitifis,Sitifis,m. p.,C,m. p. C,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,
135,,,1. PROVINCIAE AFRICAE,Cirta-Sitifis,route,,,,,Cirta,Cirta/Constantina,,,,,,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.613302666666670,colonia,settlement
136,,,1. PROVINCIAE AFRICAE,Cirta-Sitifis,route,,,,Mileum,Mileum,Milev,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305109,36.4512765,6.267698,,settlement
137,,,1. PROVINCIAE AFRICAE,Cirta-Sitifis,route,,,,Idicra,Idicra,Civitas Gentis Suburburum/Idicra?,m. p.,XXV,m. p. XXV,25.0,37.0,I am not convinced this is correct location,https://pleiades.stoa.org/places/305065,36.233342,6.016655,,settlement
138,,,1. PROVINCIAE AFRICAE,Cirta-Sitifis,route,,,,Cuiculi,Cuiculum,Cuicul,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305068,36.3176905,5.73668362,,settlement
139,,,1. PROVINCIAE AFRICAE,Cirta-Sitifis,route,,,,Sitifi,Sitifis,Sitifis,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,settlement
140,,25.1,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,sum-route,,,,,Sitifis,Sitifis,,,,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,
141,,25.1,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,sum-route,"Caesarea m. p. ?, sic:",,,Caesarea,Caesarea,Iol Caesarea,m. p.,?,m. p. ?,,,,https://pleiades.stoa.org/places/295279,36.607058,2.1918495,,
142,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,,Sitifis,Sitifis,,,,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,settlement
143,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Perdices,Perdices,Perdices?,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/334608,35.931999,5.390069,,settlement
144,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Cellas,Cellae,Cellas/Castellum Cellense?,m. p.,XXVIII,m. p. XXVIII,28.0,41.44,,https://pleiades.stoa.org/places/334526,35.66983,5.319487,,settlement
145,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Macri,Macri,Macri?,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/334584,35.637737,5.094743,,settlement
146,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Zabi,Zabi,Zabi (Iustiniana),m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/334668,35.691235,4.564989500000000,,settlement
147,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Aras,Arae,Aras,m. p.,XXX,m. p. XXX,30.0,44.4,,https://pleiades.stoa.org/places/334493,35.818752,4.292015,,settlement
148,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Tatilti,Tatilti,Tatilti?,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/334628,36.019807,3.989498,,settlement
149,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Auza,Auzia,Auzia,m. p.,XLIIII,m. p. XLIIII,44.0,65.12,,https://pleiades.stoa.org/places/295221,36.1444475,3.691275,,settlement
150,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Rapidi,Rapidum,Rapidum,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/295329,36.1368445,3.4229785,,settlement
151,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Tirinadi,Tirinadi,Thanaramusa Castra,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/295354,36.135629,2.914292,,settlement
152,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Caput Cilani,Caput Cilani,Caput Cilani?,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/295239,36.13972,2.836188,caput,settlement
153,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Sufasar,Sufasar,Sufasar,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/295346,36.19245,2.5132700000000000,,settlement
154,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Aquis,Aquae,Aquae Calidae,m. p.,XVI,m. p. XVI,16.0,23.68,"The sub-itineraries here are unclear. Sitifis comes after Caesarea, not before",https://pleiades.stoa.org/places/295216,36.379474,2.395618,,settlement
155,,,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,route,,,,Caesarea,Caesarea,Iol Caesarea,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/295279,36.607058,2.1918495,,settlement
156,,31.6,1. PROVINCIAE AFRICAE,Sitifis-Saldae,sum-route,Item a Sitifi Saldas m. p. LXXVIIIIS,,,Sitifi,Sitifis,Sitifis,,,,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,
157,,31.6,1. PROVINCIAE AFRICAE,Sitifis-Saldae,sum-route,Item a Sitifi Saldas m. p. LXXVIIIIS,,,Saldas,Saldae,Saldae,m. p.,LXXVIIIIS, m. p. LXXVIIIIS,,,,https://pleiades.stoa.org/places/305142,36.740851,5.057965000000000,,
158,,,1. PROVINCIAE AFRICAE,Sitifis-Saldae,route,,,,,Sitifis,Sitifis,,,,0.0,0.0,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,settlement
159,,,1. PROVINCIAE AFRICAE,Sitifis-Saldae,route,,,,Orrea,Horreum,Horrea,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/305092,36.333308,5.181813,,settlement
160,,,1. PROVINCIAE AFRICAE,Sitifis-Saldae,route,,,,Lesbi,Lesbi,Lesbi?,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/305102,36.457201,5.129934,,settlement
161,,,1. PROVINCIAE AFRICAE,Sitifis-Saldae,route,,,,Tubusuptus,Tupusuctu,Tubusuctu,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305171,36.667565,4.8462225,,settlement
162,,,1. PROVINCIAE AFRICAE,Sitifis-Saldae,route,,,,Saldis,Saldae,Saldae,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/305142,36.740851,5.057965000000000,,settlement
163,,32.4,1. PROVINCIAE AFRICAE,Lambaesis-Sitifis,sum-route,Item a Lambese Sitifi m. p. CIIS:,,,Lambese,Lambaesis,Lambaesis,,,,,,,https://pleiades.stoa.org/places/334570,35.4896642309727,6.254841051015730,,
164,,32.4,1. PROVINCIAE AFRICAE,Lambaesis-Sitifis,sum-route,Item a Lambese Sitifi m. p. CIIS:,,,Sitifi,Sitifis,Sitifis,m. p.,CIIS, m. p. CIIS,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,
165,,,1. PROVINCIAE AFRICAE,Lambaesis-Sitifis,route,,,,,Lambaesis,Lambaesis,,,,0.0,0.0,,https://pleiades.stoa.org/places/334570,35.4896642309727,6.254841051015730,,settlement
166,,,1. PROVINCIAE AFRICAE,Lambaesis-Sitifis,route,,,,Tadutti,Tadutti,Tadutti?,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/334627,35.711899,6.374227,,settlement
167,,,1. PROVINCIAE AFRICAE,Lambaesis-Sitifis,route,,,,Nova Sparsa,Sparsa Nova,Nova Sparsa?,m. p.,XXXII,m. p. XXXII,32.0,47.36,,https://pleiades.stoa.org/places/334605,35.890931,6.365829,,settlement
168,,,1. PROVINCIAE AFRICAE,Lambaesis-Sitifis,route,,,,Gemellas,Gemellae,Gemellae,m. p.,XXVIIS,m. p. XXVIIS,27.0,39.96,This is Gemellae 4 in Pauly-Wissowa. No precise location is given.,https://www.wikidata.org/wiki/Q118500602,,,,unknown
169,,,1. PROVINCIAE AFRICAE,Lambaesis-Sitifis,route,,,,Sitifi,Sitifis,Sitifis,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,settlement
170,,33.2-3,1. PROVINCIAE AFRICAE,Theveste-Sitifis,sum-route,Item a Theveste per Lambesem Sitifi m. p. CCXII:,,,Theveste,Theveste,Theveste,,,,,,,https://pleiades.stoa.org/places/324831,35.404174,8.1223145,,
171,,33.2-3,1. PROVINCIAE AFRICAE,Theveste-Sitifis,sum-route,Item a Theveste per Lambesem Sitifi m. p. CCXII:,,,Sitifi,Sitifis,Sitifis,m. p.,CCXII, m. p. CCXII,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,
172,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,,Theveste,Theveste,,,,0.0,0.0,,https://pleiades.stoa.org/places/324831,35.404174,8.1223145,,settlement
173,,33.4,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Tinfadi,Tinfadi,Tinfadi,m. p.,XXII,m. p. XXII,22.0,32.56,,https://pleiades.stoa.org/places/338292,,,,unlocated
174,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Vegesela,Vegesela,Vegesela,m. p.,XX,m. p. XX,20.0,29.6,,https://pleiades.stoa.org/places/334661,35.37199,7.485505,,station
175,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Mascula,Mascula,Mascula Tiberia,m. p.,XVIIII,m. p. XVIIII,19.0,28.12,,https://pleiades.stoa.org/places/334587,35.435644,7.148368,,settlement
176,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Claudi,Claudi,Claudi,m. p.,XXII,m. p. XXII,22.0,32.56,,https://pleiades.stoa.org/places/334532,35.463468,6.904966,,settlement
177,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Tamugadi,Tamugadi,Thamugadi,m. p.,XXII,m. p. XXII,22.0,32.56,,https://pleiades.stoa.org/places/334636,35.4852165,6.4682225000000000,,urban
178,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Lambese,Lambaesis,Lambaesis,m. p.,XIIII,m. p. XIIII,14.0,20.72,,https://pleiades.stoa.org/places/334570,35.4896642309727,6.254841051015730,,settlement
179,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Diana,Diana Veteranorum,Diana Veteranorum,m. p.,XXXII,m. p. XXXII,32.0,47.36,,https://pleiades.stoa.org/places/334536,35.7798225607954,6.077464317539990,,settlement
180,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Nova Petra,Nova Petra,Nova Petra?,m. p.,XIIII,m. p. XIIII,14.0,20.72,,https://pleiades.stoa.org/places/334604,35.780944,6.080039,,settlement
181,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Gemellas,Gemellae,Gemellae,m. p.,XXII,m. p. XXII,22.0,32.56,This is Gemellae 4 in Pauly-Wissowa. No precise location is given.,https://www.wikidata.org/wiki/Q118500602,,,,unknown
182,,,1. PROVINCIAE AFRICAE,Theveste-Sitifis,route,,,,Sitifi,Sitifis,Sitifis,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,settlement
183,,34.7,1. PROVINCIAE AFRICAE,Turres Caesaris-Cirta,sum-route,Item a Turres Caesaris Cirta m. p. XL:,,,Turres Caesaris,Turres Caesaris,Turris Caesaris,,,,,,,https://pleiades.stoa.org/places/338295,,,,
184,,34.7,1. PROVINCIAE AFRICAE,Turres Caesaris-Cirta,sum-route,Item a Turres Caesaris Cirta m. p. XL:,,,Cirta,Cirta,Cirta/Constantina,m. p.,XL, m. p. XL,,,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.613302666666670,,
185,,,1. PROVINCIAE AFRICAE,Turres Caesaris-Cirta,route,,,,,Turres Caesaris,Turris Caesaris,,,,0.0,0.0,,https://pleiades.stoa.org/places/338295,,,turris,unlocated
186,,,1. PROVINCIAE AFRICAE,Turres Caesaris-Cirta,route,,,,Sigus,Sigus,Sigus,m. p.,XV,m. p. XV,15.0,22.2,,https://pleiades.stoa.org/places/305150,36.122312,6.78528,,settlement
187,,,1. PROVINCIAE AFRICAE,Turres Caesaris-Cirta,route,,,,Cirta,Cirta,Cirta/Constantina,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.613302666666670,,settlement
188,,35.2,1. PROVINCIAE AFRICAE,Tamugadi-Lamasba,sum-route,Item a Tamugadi Lamasba m. p. LXII:,,,Tamugadi,Tamugadi,Thamugadi,,,,,,,https://pleiades.stoa.org/places/334636,35.4852165,6.4682225000000000,,
189,,35.2,1. PROVINCIAE AFRICAE,Tamugadi-Lamasba,sum-route,Item a Tamugadi Lamasba m. p. LXII:,,,Lamasba,Lamasba,Lamasba,m. p.,LXII, m. p. LXII,,,,https://pleiades.stoa.org/places/334569,35.6283625,5.9105800000000000,,
190,,,1. PROVINCIAE AFRICAE,Tamugadi-Lamasba,route,,,,,Tamugadi,Thamugadi,,,,0.0,0.0,,https://pleiades.stoa.org/places/334636,35.4852165,6.4682225000000000,,urban
191,,,1. PROVINCIAE AFRICAE,Tamugadi-Lamasba,route,,,,Tadutti,Tadutti,Tadutti?,m. p.,XXVIII,m. p. XXVIII,28.0,41.44,,https://pleiades.stoa.org/places/334627,35.711899,6.374227,,settlement
192,,,1. PROVINCIAE AFRICAE,Tamugadi-Lamasba,route,,,,Diana Veteranorum,Diana Veteranorum,Diana Veteranorum,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/334536,35.7798225607954,6.077464317539990,,settlement
193,,,1. PROVINCIAE AFRICAE,Tamugadi-Lamasba,route,,,,Lamasba,Lamasba,Lamasba,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/334569,35.6283625,5.9105800000000000,,settlement
194,,35.6,1. PROVINCIAE AFRICAE,Lamasba-Sitifis,sum-route,Item a Lamasba Sitifi m. p. LXII sic:,,,Lamasba,Lamasba,Lamasba,,,,,,,https://pleiades.stoa.org/places/334569,35.6283625,5.9105800000000000,,
195,,35.6,1. PROVINCIAE AFRICAE,Lamasba-Sitifis,sum-route,Item a Lamasba Sitifi m. p. LXII sic:,,,Sitifi,Sitifis,Sitifis,m. p.,LXII , m. p. LXII ,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,
196,,,1. PROVINCIAE AFRICAE,Lamasba-Sitifis,route,,,,Lamasba,Lamasba,Lamasba,,,,0.0,0.0,,https://pleiades.stoa.org/places/334569,35.6283625,5.9105800000000000,,settlement
197,,,1. PROVINCIAE AFRICAE,Lamasba-Sitifis,route,,,,Zarai,Zarai,Zarai,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/334669,35.802187,5.677421,,settlement
198,,,1. PROVINCIAE AFRICAE,Lamasba-Sitifis,route,,,,Perdicibus,Perdices,Perdices?,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/334608,35.931999,5.390069,,settlement
199,,,1. PROVINCIAE AFRICAE,Lamasba-Sitifis,route,,,,Sitifi,Sitifis,Sitifis,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.404180824072240,,settlement
200,,36.3,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,sum-route,Item a Calama Rusuccurru m. p. CCCXCIIII:,,,Calama,Calama,,,,,,,"Presumably Calama 2 in Pauly-Wissowa: https://de.wikisource.org/wiki/RE:Calama_2#III,1",https://www.wikidata.org/wiki/Q34488708,,,,unknown
201,,36.3,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,sum-route,Item a Calama Rusuccurru m. p. CCCXCIIII:,,,Rusuccurru,Rusuccuru,Rusuccuru,m. p.,CCCXCIIII, m. p. CCCXCIIII,,,,https://pleiades.stoa.org/places/295334,36.9128545,3.9096445000000000,,
202,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,,,Calama,Calama,,,,,0.0,0.0,"Presumably Calama 2 in Pauly-Wissowa: https://de.wikisource.org/wiki/RE:Calama_2#III,1",https://www.wikidata.org/wiki/Q34488708,,,,unknown
203,,36.4,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,ad,,Ad Rubras,Ad Rubras,Ad Rubras,m. p.,XX,m. p. XX,20.0,29.6,Pleiades URI checked against the References,https://pleiades.stoa.org/places/289923,,,,unlocated
204,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,ad,,Ad Albulas,Albulae/Praesidium Sufative,Albulae/Praesidium Sufative,m. p.,XXX,m. p. XXX,30.0,44.4,,https://pleiades.stoa.org/places/285412,35.301602,-1.144788,,settlement
205,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,ad,,Ad Dracones,Ad Dracones,Ad Dracones?,m. p.,XIIII,m. p. XIIII,14.0,20.72,,https://pleiades.stoa.org/places/285392,35.3826,-0.957499,,station
206,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,ad,,Ad Regias,Regiae,Regiae,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,,https://pleiades.stoa.org/places/285509,35.456691,-0.61879,,settlement
207,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,,,Tasaccora,Tasaccora,Tasaccora,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/285529,35.53139345,-0.1914686,,settlement
208,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,,,Castra Nova,Nova Castra,Castra Nova,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/285424,35.590223,0.069577,castra,settlement
209,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,,,Ballene praesidio,Ballene praesidium,Ballene Praesidium,m. p.,XX,m. p. XX,20.0,29.6,,https://pleiades.stoa.org/places/285418,35.721173,0.352432,praesidium,settlement
210,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,,,Mina,Mina,Mina,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/285488,35.737087,0.559522,,settlement
211,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,,,Gadaum castra,Cadmium castra,Gadaum Castra,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/285444,35.929412,0.824593,castra,settlement
212,,,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,route,,,,Vaga,Vagal,Vagal?,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/295369,36.073819,1.094881,,settlement
