sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
118,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Vallato,Vallatum,,m. p.,XVIII,m. p. XVIII,18.0,,,,,,unknown,"The only place with this toponym is Berching, much more north"
119,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Summunturio,Summunturio,Summuntorium,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/118986,48.6503594,10.8212809,,fort,
120,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Augusta Vindelicum,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,settlement,
121,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,,,,,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,,,,0.0,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,settlement,
122,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,,,,Guntia,Guntia,Guntia,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/118716,48.454426,10.281491,,settlement,
123,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,,,,Celio Monte,Coeliomonte,Caelius Mons,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/118622,48.1201664,10.1271332,,fort,
124,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,,,,Camboduno,Cambodunum,Cambodunum (Raetia),m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/187335,47.727498,10.326578,,settlement,
125,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,,,,Vemania,Vemania,Vemania,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/187609,47.6981400839287,10.067279542902200,,fort-2,
126,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,,,,Brigantia,Brigantium,Brigantium,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/187325,47.503041,9.747061,,settlement,
127,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,,,,Arbore Felice,Arbor Felix,Arbor Felix,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/187292,47.515071,9.436868,,settlement,
128,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,,fines,,Finibus,Fines,Ad Fines,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/187249,47.5950575,8.9574465,,fort,
129,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,Vitudoro m. p. XXII leg.,,,Vitudoro,Vitudurum,Vitudurum,m. p.,XXII ,m. p. XXII ,22.0,,https://pleiades.stoa.org/places/187624,47.4985705,8.731863,legio,settlement,
130,,,7. ITEM DE PANNONIIS IN GALLIAS,Augusta Vindelicum-Argentorate,,Vindonissa m. p. XXIIII leg.,,,Vindonissa,Vindonissa,Vindonissa,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/177661,47.478494,8.220204,legio,fort,
