sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
78,,272.8-9,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,sum-route-end,Ab Aquileia per Liburniam Sisciam m. p. CCXIII:,,,Sisciam,Segestica/Siscia?,Siscia,m. p.,CCXIII, m. p. CCXIII,,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,,
79,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,,Aquileia,Aquileia,,,,0.0,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,settlement,
80,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Fonte Timavi,Fons Timavi,Fons Timavi,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/187383,45.7903786608938,13.589862971460700,fons,settlement,
81,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Avesica,Avesica,Avesica,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/187302,45.717745,13.811925,,station,
82,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,ad,,Ad Malum,Ad Malum,Ad Malum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197070,45.580328,13.996584,,station,
83,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,ad,,Ad Titulos,Ad Titulos,Ad Titulos?,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/197087,45.481151,14.251372,,station,
84,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Tharsatico,Tarsatica,Tarsatica,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/197541,45.330309,14.46247,,settlement,
85,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,ad,,Ad Turres,Ad Turres,Ad Turres,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/197088,45.174936,14.689261,turris,station,
86,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Senia,Senia,Senia,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/197505,44.990472,14.900874,,settlement,
87,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Avendone,Avendon,Avendo,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197152,44.940597,15.131095,,station,
88,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Arupio,Arupium,Arupium,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/197143,44.84851,15.268748,,settlement,
89,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Bibium,Bivium,Bivium,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/203107,,,,unlocated,
90,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Romula,Romula,Romula,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/197477,45.865867,15.666591,,station,
91,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Quadranta,Quadrato,,m. p.,XIIII,m. p. XIIII,14.0,,,,,,unknown,
92,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,ad fines,,Ad Fines,Ad Fines,Ad Fines,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/197060,45.634072,16.1159484,,station,
93,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,,,,,Sisciae,Siscia,Segestica/Siscia,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,settlement,
94,,274.8-9,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,sum-route-start,Item ab Augusta Vindelicum Verona m. p. CCLXXII:,,,Augusta Vindelicum,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,,,,,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,,
95,,274.8-9,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,sum-route-end,Item ab Augusta Vindelicum Verona m. p. CCLXXII:,,,Verona,Verona,Verona,m. p.,CCLXXII, m. p. CCLXXII,,,https://pleiades.stoa.org/places/383816,45.4421295463369,10.995736005074000,,,
96,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,,,,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,,,,0.0,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,settlement,
97,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,,,Abuzaco,Abodiacum,Abodiacum,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/187242,47.909892,10.909748,,settlement,
98,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,,,Parthano,Parthanum,*Parthanum/*Tartenum,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/187505,47.49237,11.086258,,station,
99,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,,,Veldidena,Veldidena,Veldidena,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/187608,47.253961,11.399902,,settlement,
100,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,,,Vipiteno,Vipitenum,*Vipitenum,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/187621,46.89921,11.431153,,station,
101,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,,,Sublavione,Saebio,‘Sublavione’,m. p.,XXXII,m. p. XXXII,32.0,,https://pleiades.stoa.org/places/187561,46.63961,11.564796,,settlement,
102,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,,,Endidae,Endidae,Endidae,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/187368,46.317814,11.273762,,station,
103,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,,,Tridento,Tridentum,Trident(i)um,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/383804,46.0667685,11.119135,,settlement,
104,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,ad,,Ad Palatium,Ad Palatium,Ad Palatium,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/393365,45.757783,11.000245,palatium,station,
105,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,,,,,Verona,Verona,Verona,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/383816,45.4421295463369,10.995736005074000,,settlement,
106,,276.1,8. De Italia per Histriam in Dalmatia.,Aquileia-Lauriacum,sum-route-start,Ab Aquileia Lauriaco m. p. CCLXXII:,,,Aquileia,Aquileia,Aquileia,,,,,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,,
107,,276.1,8. De Italia per Histriam in Dalmatia.,Aquileia-Lauriacum,sum-route-end,Ab Aquileia Lauriaco m. p. CCLXXII:,,,Lauriaco,Lauriacum,Lauriacum,m. p.,CCLXXII, m. p. CCLXXII,,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479000000000,,,
108,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Lauriacum,,,,,,Aquileia,Aquileia,,,,0.0,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,settlement,
109,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Lauriacum,,viam Belloio,viam,,Belloio,Belloium,Belloi,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/246234,41.2838166214,-1.31952080002,,"map label location, people, tribe (historical cultural group)",
110,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Lauriacum,,,,,Larice,Larix,Larix,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/203134,,,,unlocated,
111,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Lauriacum,,,,,Santico,Santicum,Santicum,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/187537,46.615977,13.848725,,station,
