sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
75,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Camborico,Camboricum,‘Camborico’?,m. p.,XXXV,m. p. XXXV,35.0,,https://pleiades.stoa.org/places/79369,52.3037,0.623598,,settlement,
76,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Duroliponte,Duroli pons,Duroliponte,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/79436,52.2125,0.114167,,settlement,
77,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Durobrivas,Durobrivae,Durobrivae (Water Newton),m. p.,XXXV,m. p. XXXV,35.0,,https://pleiades.stoa.org/places/79432,52.55899,-0.34821,,settlement,
78,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Causennis,Causennae,Causennis?,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/79382,52.897399,-0.578019,,settlement,
79,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Lindo,Lindum,Col. Lindum,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/79395,53.2348205,-0.5384420000000000,,settlement,
80,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Segeloci,Segelocus,Segelocum,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/79677,53.3349201786623,-0.7643837527264790,,settlement,
81,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Dano,Danum,Danum?,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/79412,53.525415981432,-1.1351028777868500,,fort,
82,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Legeolio,Lagecium/Legedium,Lagentium,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/79553,53.725863,-1.356271,,fort,
83,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Eburaco,Eburacum,Eburacum,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/89175,53.957672,-1.082304,,settlement,
84,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Isubrigantum,Isubrigantum? Isurium?,Isurium,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/89209,54.0906269504574,-1.3833365060314800,,settlement,
85,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Cataractoni,Cataractonium,Cataractonium,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/89143,54.3871953968295,-1.6547101467231000,,city-wall,
86,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Levatris,Lavatrae,Lavatris,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/89224,54.514656,-2.012394,,fort,
87,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Verteris,Verterae,Verteris,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/89312,54.5214081465941,-2.3236738050528600,,fort,
88,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Brocavo,Brovonacae,Brav(o)niacum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/89123,54.624234,-2.562156,,fort,
89,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Luguvalio,Luguvalium,Luguvalium,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/89234,54.896035,-2.9376685,,settlement,
90,,476.7,27. ITER BRITTANIARUM.,Londinium-Lindum,sum-route-start,Item a Londinio Lindo m. p. CLVI sic:,,,Londinio,Londinium,Londinium,,,,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
91,,476.7,27. ITER BRITTANIARUM.,Londinium-Lindum,sum-route-end,Item a Londinio Lindo m. p. CLVI sic:,,,Lindo,Lindum,Col. Lindum,m. p.,CLVI , m. p. CLVI ,,,https://pleiades.stoa.org/places/79395,53.2348205,-0.5384420000000000,,,
92,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,,Londinium,Londinium,,,,0.0,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,urban,
93,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Verolami,Verolamium/Verulamium,Verulamium,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/79739,51.7520276421349,-0.35846817129313100,,settlement,
94,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Durocobrius,Durocobrivae,Durocobrivis,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79434,51.883025,-0.528644,,settlement,
95,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Magiovinio,Magiovinium,Magiovinium,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79586,51.998623,-0.716167,,settlement,
96,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Lactodoro,Lactodorum,Lactodorum,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/79552,52.131483,-0.9887305,,settlement,
97,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Isannavantia,Bannaventa,Bannaventa,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79313,52.276352,-1.0855870000000000,,settlement,
98,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Tripontio,Tripontium,‘Tripontio’,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79722,52.4083519938943,-1.2148246686238000,,settlement,
99,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Venonis,Venonae,Venonis,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/79732,52.49445,-1.301384,,settlement,
100,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Ratas,Ratae,Ratae,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79651,52.634738,-1.13538,,settlement,
101,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Verometo,Verometum/Vernemetum,‘Vernemeto’,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/79737,52.821583,-1.0559,,settlement,
102,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Margiduno,Margidunum,Margidunum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79595,52.9739905,-0.9639585000000000,,settlement,
103,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,ad,,Ad Pontem,Ad Pontem,Ad Pontem,m. p.,VII,m. p. VII,7.0,,https://pleiades.stoa.org/places/79285,53.042021,-0.882816,pons,settlement,
104,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Crococalana,Crococalanum,Crococalana,m. p.,VII,m. p. VII,7.0,,https://pleiades.stoa.org/places/79407,53.11871,-0.7472505,,settlement,
105,,,27. ITER BRITTANIARUM.,Londinium-Lindum,,,,,Lindo,Lindum,Col. Lindum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79395,53.2348205,-0.5384420000000000,,settlement,
106,,477.10,27. ITER BRITTANIARUM.,Regentium?-Londinium,sum-route-start,Item a Regno Lundinio m. p. XCVI sic:,,,Regno,Regentium?,Noviomagus,,,,,,https://pleiades.stoa.org/places/79622,50.8350695,-0.789969,,,
107,,477.10,27. ITER BRITTANIARUM.,Regentium?-Londinium,sum-route-end,Item a Regno Lundinio m. p. XCVI sic:,,,Lundinio,Londinium,Londinium,m. p.,XCVI , m. p. XCVI ,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
108,,,27. ITER BRITTANIARUM.,Regentium?-Londinium,,,,,,Regentium?,Noviomagus,,,,0.0,,https://pleiades.stoa.org/places/79622,50.8350695,-0.789969,,settlement,This should be Noviomagus Regnorum
109,,,27. ITER BRITTANIARUM.,Regentium?-Londinium,,,,,Clausentum,Clausentum,Clausentum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/83827,50.8957,-1.190900,,settlement,Coordinates supplied through Topostext
110,,,27. ITER BRITTANIARUM.,Regentium?-Londinium,,,,,Venta Belgarum,Venta Belgarum,Venta,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/79734,51.063,-1.317,,settlement,
111,,,27. ITER BRITTANIARUM.,Regentium?-Londinium,,,,,Galleva Atrebatum,Calleva Atrebatum,Calleva,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/79368,51.3572048631083,-1.0823913646849300,,settlement,
