title,uri,type,representative_latitude,representative_longitude,location_precision
Lucania et Bruttii,https://pleiades.stoa.org/places/991362,province-2,42.5,17.5,rough
Thessalia,https://pleiades.stoa.org/places/991374,province,37.5,22.5,rough
Aquitania II (province),https://pleiades.stoa.org/places/991323,province,47.5,-2.5,rough
Valeria,https://pleiades.stoa.org/places/991358,province,47.5,17.5,rough
Corsica (Province),https://pleiades.stoa.org/places/991339,province,,,rough
Caria (province),https://pleiades.stoa.org/places/991381,province-2,37.213929893451200,28.08853432374590,rough
Aegyptus Herculia,https://pleiades.stoa.org/places/991397,province-2,27.5,32.5,rough
Tripolitana (late Roman province),https://pleiades.stoa.org/places/991354,province,32.5,12.5,rough
Numidia Cirtensis,https://pleiades.stoa.org/places/991342,province,37.5,7.5,rough
Phrygia II,https://pleiades.stoa.org/places/991394,province-2,37.5,32.5,rough
Savia,https://pleiades.stoa.org/places/991357,province,47.5,17.5,rough
Africa Proconsularis (late Roman province),https://pleiades.stoa.org/places/991341,province,37.5,7.5,rough
Belgica I,https://pleiades.stoa.org/places/991336,province,47.5,7.5,rough
Epirus Nova,https://pleiades.stoa.org/places/991361,province,42.5,17.5,rough
Haemimontus,https://pleiades.stoa.org/places/991377,province-2,42.5,27.5,rough
Thebais,https://pleiades.stoa.org/places/991398,province,27.5,32.5,rough
Mauretania Tingitana (late Roman province),https://pleiades.stoa.org/places/991320,province,32.5,-7.5,rough
Britannia I (province),https://pleiades.stoa.org/places/991321,province-2,52.5,-2.5,rough
Europa,https://pleiades.stoa.org/places/991376,province,42.5,27.5,rough
Germania I,https://pleiades.stoa.org/places/991337,province,47.5,7.5,rough
Viennensis (late Roman province),https://pleiades.stoa.org/places/991340,province,42.5,7.5,rough
Gallaecia,https://pleiades.stoa.org/places/991317,province,42.5,-7.5,rough
Insulae,https://pleiades.stoa.org/places/991383,province,37.5,27.5,rough
Aquitania I (province),https://pleiades.stoa.org/places/991330,province-2,47.5,2.5,rough
Dardania (province),https://pleiades.stoa.org/places/991367,province-2,42.5,22.5,rough
Libya Inferior,https://pleiades.stoa.org/places/991388,province,32.5,27.5,rough
Flaminia et Picenum (province),https://pleiades.stoa.org/places/991351,province-2,42.5,12.5,rough
Noricum Ripense,https://pleiades.stoa.org/places/991347,province,47.5,12.5,rough
Noricum Mediterraneum,https://pleiades.stoa.org/places/991346,province,47.5,12.5,rough
Campania,https://pleiades.stoa.org/places/991350,province,41.171222602015700,14.22763704730020,precise
Galatia,https://pleiades.stoa.org/places/991393,province,37.5,32.5,rough
Lydia (province),https://pleiades.stoa.org/places/991385,province,37.5,27.5,rough
Carthaginiensis,https://pleiades.stoa.org/places/991327,province,37.5,-2.5,rough
Rhodope,https://pleiades.stoa.org/places/991370,province,42.5,22.5,rough
Dacia Ripensis,https://pleiades.stoa.org/places/991366,province,42.5,22.5,rough
Bithynia,https://pleiades.stoa.org/places/991389,province,42.5,32.5,rough
Belgica II,https://pleiades.stoa.org/places/991331,province,47.5,2.5,rough
Macedonia (Hellenistic kingdom),https://pleiades.stoa.org/places/991253193,state,40.9290460686477,22.497799234002500,rough
Cuneiform findspot close to the citadel of ‘Ammān,https://pleiades.stoa.org/places/991530128,findspot,31.9539,35.9377,precise
Boville Ernica,https://pleiades.stoa.org/places/998907993,settlement,41.65,13.466667,precise
Ad Palmam,https://pleiades.stoa.org/places/998713926,unknown,,,rough
Khirbet al-Batrawy,https://pleiades.stoa.org/places/998604622,settlement,32.0872236,36.0707917,precise
Roman amphitheater at Eporedia,https://pleiades.stoa.org/places/998834783,amphitheatre,45.4674451,7.887805,precise
Paqarhubuni (settlement),https://pleiades.stoa.org/places/998821004,unlocated,37.5812744,36.927509,rough
Til-karme,https://pleiades.stoa.org/places/998821003,unlocated,,,rough
Temple d'Appolon,https://pleiades.stoa.org/places/998499870,temple-2,44.077943,4.5595476,precise
Catacombs of Commodilla,https://pleiades.stoa.org/places/99836453,cemetery,41.861044968612500,12.483049522512200,precise
Göreme National Park and the Rock Sites of Cappadocia,https://pleiades.stoa.org/places/998569132,cultural-landscape,38.65840624466100,34.844792196209100,precise
Amphitheater of Ercavica,https://pleiades.stoa.org/places/994042997,amphitheatre,40.43,-2.668,precise
Beljaus,https://pleiades.stoa.org/places/994268248,settlement,45.3800544,32.8940043,precise
Palatial House at Rhodes,https://pleiades.stoa.org/places/994502886,architecturalcomplex,36.443000121069200,28.215426285789400,precise
Amphitheater of Micia,https://pleiades.stoa.org/places/993194702,amphitheatre,45.91499587967530,22.81730238669270,precise
Punta della Vipera Etruscan temple,https://pleiades.stoa.org/places/99313926,sanctuary,42.0463351,11.8256075,precise
Casa de la Fortuna,https://pleiades.stoa.org/places/993840680,townhouse,37.602206,-0.9821136,precise
Ghar El Kebir Quarries,https://pleiades.stoa.org/places/993452096,quarry,37.0595979,10.9961232,precise
Aïn Melliti,https://pleiades.stoa.org/places/993452097,archaeological-site,36.49753995075280,9.173189424697790,precise
Building V on the Athenian Acropolis,https://pleiades.stoa.org/places/993507722,building,37.97168593349760,23.726483183309700,rough
Sa Femina Nuraghe,https://pleiades.stoa.org/places/992965242,nuraghe,40.6532536,8.3833549,precise
Vetricella,https://pleiades.stoa.org/places/992988978,settlement,42.949810823684900,10.816993357976800,precise
Britanniae,https://pleiades.stoa.org/places/992071,province,52.5,-2.5,rough
Pannoniae,https://pleiades.stoa.org/places/992076,province,47.5,12.5,rough
Moesiae,https://pleiades.stoa.org/places/992077,province,42.5,22.5,rough
Pontica,https://pleiades.stoa.org/places/992081,province,37.5,32.5,rough
Thracia,https://pleiades.stoa.org/places/992078,province,42.5,22.5,rough
Viennensis (diocese),https://pleiades.stoa.org/places/992074,province,42.5,-2.5,rough
