"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"1ba406ef-1731-44cc-ab61-5de10bd7b802","Diller ocr.txt","Καρμανίας","char-offset:4841","PLACE","http://pleiades.stoa.org/places/29517","Carmania","-0550/0640","27.5","57.5","region","VERIFIED","region",""
"ca3c6b6e-38d0-48a8-8a9f-a27db6648148","Diller ocr.txt","Ἀραβίας","char-offset:4855","PLACE","http://pleiades.stoa.org/places/981506","Arabia","","27.5","32.5","province","VERIFIED","region",""
"4b2ebc87-1d6d-48ae-82ef-c953ac5a8e5f","Diller ocr.txt","ἔστι δὲ τὸ μεταξὺ στόμα Ἀραβίας καὶ Καρμανίας σταδίων υ.  ","char-offset:4901","EVENT","","","","","","","","extent|absolute",""
"59a62bd3-743f-4ba0-a204-5b7d30a713cc","Diller ocr.txt","τὸ μεταξὺ στόμα","char-offset:4909","EVENT","","","","","","","","location",""
"4788da60-2580-49d0-8d5e-ad9560a08271","Diller ocr.txt","τὸ μεταξὺ στόμα Ἀραβίας καὶ Καρμανίας","char-offset:4909","PLACE","","","","","","","UNVERIFIED","natural feature",""
"d5cb0ccf-19da-426e-bba4-06110194793a","Diller ocr.txt","Ἀραβίας","char-offset:4925","PLACE","http://pleiades.stoa.org/places/981506","Arabia","","27.5","32.5","province","VERIFIED","region",""
"f99e2979-5975-498f-8a6d-b77d14e87c59","Diller ocr.txt","Καρμανίας","char-offset:4937","PLACE","http://pleiades.stoa.org/places/29517","Carmania","-0550/0640","27.5","57.5","region","VERIFIED","region",""
"cdb7f510-447b-489f-9f51-736f08450c47","Diller ocr.txt","Ἡ δὲ Ὑρκανία ἤτοι Κασπία θάλασσα μηνοειδὴς οὖσα, κατὰ δέ τινας καὶ προμήκης, ἐστὶ σταδίων δισμυρίων","char-offset:4960","EVENT","","","","","","","","extent|absolute",""
"01a99705-632a-4c4f-a89f-393b8ea917ec","Diller ocr.txt","Ὑρκανία","char-offset:4965","PLACE","http://pleiades.stoa.org/places/884130","Caspium/Hyrcanium Mare","-0550/0640","42.6759567125","49.98680535","lake,water-open","VERIFIED","natural feature|water mass|sea",""
"bcfb76ba-eefb-4a62-bbf3-56d49c9d8a30","Diller ocr.txt","Ὑρκανία ἤτοι Κασπία θάλασσα","char-offset:4965","PLACE","","","","","","","UNVERIFIED","",""
"ae2fa63c-9715-466a-a293-b9c48dd5e76f","Diller ocr.txt","Κασπία θάλασσα","char-offset:4978","PLACE","","","","","","","UNVERIFIED","",""
"9fa45f6a-8963-45f8-952b-40bc7d4fdc9a","Diller ocr.txt","Κασπία","char-offset:4978","PLACE","http://pleiades.stoa.org/places/884130","Caspium/Hyrcanium Mare","-0550/0640","42.6759567125","49.98680535","lake,water-open","VERIFIED","natural feature|water mass|sea",""
"cf96e9a1-4b88-4f78-8f8f-4ec545e39754","Diller ocr.txt","τοῦ δὲ στόματος ἔχει τὸ δίαρμα σταδίους  ˏα.","char-offset:5061","EVENT","","","","","","","","extent|absolute",""
"54701baf-3fb1-4c7b-ac96-200d76d929cb","Diller ocr.txt","Ὁ δὲ Ἀράβιος κόλπος στενὸς ὢν καὶ προμήκης ἄρχεται ἀπὸ Ἡρώων πολίτου μυχοῦ παρὰ τὴν Τρωγλοδυτικὴν ἕως τῆς Πτολεμαΐδος τῆς ἐπὶ θήρας σταδίων ˏθ τὸ μῆκος","char-offset:5108","EVENT","","","","","","","","extent|absolute","mixed type"
"76f9fb8c-c055-4219-82bd-1f2d643169bf","Diller ocr.txt","Ὁ δὲ Ἀράβιος κόλπος στενὸς ὢν καὶ προμήκης ἄρχεται ἀπὸ Ἡρώων πολίτου μυχοῦ","char-offset:5108","EVENT","","","","","","","","",""
"8ca4b81c-0fd7-4527-83d9-4d1b2e711c48","Diller ocr.txt","Ἀράβιος κόλπος","char-offset:5113","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","natural feature|water mass|gulf",""
"c7cf1358-b147-4f16-a095-3a376b72a078","Diller ocr.txt","ἄρχεται ἀπὸ Ἡρώων πολίτου μυχοῦ","char-offset:5151","EVENT","","","","","","","","extent|relative",""
"ee91445d-738a-49b0-8d6c-adba1db39186","Diller ocr.txt","Ἡρώων πολίτου","char-offset:5163","PLACE","http://pleiades.stoa.org/places/727124","Heroonpolis|Patoumos/Pithom, Tell el-Maskhuta","-0030/0640","30.55278","32.09944","settlement","VERIFIED","settlement",""
"b20abb2f-a58c-4af0-902c-2d2f9d1b2967","Diller ocr.txt","Ἡρώων πολίτου μυχοῦ","char-offset:5163","PLACE","http://pleiades.stoa.org/places/746744","Heroopoliticus Sinus","","28.166667","33.45","water-open","VERIFIED","natural feature|water mass|gulf",""
"08286ae2-0d8e-4927-9645-4d41d796da3f","Diller ocr.txt","παρὰ τὴν Τρωγλοδυτικὴν","char-offset:5183","EVENT","","","","","","","","position|relative",""
"989776db-20d6-40c7-afd3-237a5bcaff96","Diller ocr.txt","Τρωγλοδυτικὴν","char-offset:5192","PLACE","http://pleiades.stoa.org/places/39435","Trogodytice","-0030/0300","17.5","37.5","region","VERIFIED","region",""
"88df1269-49ca-4258-98d0-b94bf62bc330","Diller ocr.txt","ἕως τῆς Πτολεμαΐδος τῆς ἐπὶ θήρας","char-offset:5206","EVENT","","","","","","","","extent|relative",""
"f46b62e5-922e-45f9-87ff-1d3dd3e29cd6","Diller ocr.txt","Πτολεμαΐδος τῆς ἐπὶ θήρας","char-offset:5214","PLACE","http://pleiades.stoa.org/places/39409","Ptolemais Theron|Ptolemais Theron, Trinkatat","-0030/0300","18.222236","38.184316","settlement,port","VERIFIED","settlement",""
"426de158-b670-4fb4-83e9-68f3c5cae34d","Diller ocr.txt","τὰ δὲ  κατὰ Δειρὴν στενὰ","char-offset:5261","PLACE","","","","","","","UNVERIFIED","natural feature",""
"79182d0f-07d1-4a9a-9ea8-750192a3ce3b","Diller ocr.txt","τὰ δὲ  κατὰ Δειρὴν στενὰ σταδίων ξ","char-offset:5261","EVENT","","","","","","","","distance|absolute",""
"ffdab691-e93c-4861-ba3a-15ad5ef9e80b","Diller ocr.txt","Δειρὴν","char-offset:5273","PLACE","http://pleiades.stoa.org/places/39335","Deire|Deire, Ras Siyan","-0030/0300","12.469263","43.322268","settlement,cape","VERIFIED","settlement",""
"db4c1f06-ff51-47d2-8ef4-77ffc08332ec","Diller ocr.txt","ἔνθεν ἑξῆς πλοῦς σταδίων ˏϛφ","char-offset:5297","EVENT","","","","","","","","distance|absolute",""
"d2ebb03c-09ae-4129-9ebe-8175125b43aa","Diller ocr.txt","τὸ δὲ λοιπὸν οὐ πλεῖται παρὰ τὴν Ἐρυθρὰν θάλασσαν ἕως ὠκεανοῦ σταδίων ˏε","char-offset:5327","EVENT","","","","","","","","distance|absolute","distance given with direction"
"21fdb61b-83de-4834-9fc4-f36ddcc37787","Diller ocr.txt","παρὰ τὴν Ἐρυθρὰν θάλασσαν","char-offset:5351","EVENT","","","","","","","","direction|relative",""
"fd8aa011-9c22-44de-b20f-279d582aebdb","Diller ocr.txt","Ἐρυθρὰν θάλασσαν","char-offset:5360","PLACE","","","","","","","UNVERIFIED","","Place category referred to the following ethnics."
"31cd6d22-09a2-443c-a9b3-fa2e6d82922a","Diller ocr.txt","Ἐρυθρὰν","char-offset:5360","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","natural feature|water mass|sea",""
"d76ecad2-714c-4422-8e40-571195d07517","Diller ocr.txt","ὠκεανοῦ","char-offset:5381","PLACE","","","","","","","UNVERIFIED","concept|natural feature|water mass|ocean",""
"11865c9e-35a1-46d3-9505-b58d0e786d4c","Diller ocr.txt","τὸ δὲ παρὰ τὴν Ἀραβίαν πλευρὰν","char-offset:5401","EVENT","","","","","","","","proximity",""
"5ad29b5a-9df1-4a0f-be08-cc7bb43e9833","Diller ocr.txt","τὸ δὲ παρὰ τὴν Ἀραβίαν πλευρὰν ἀπὸ Αἰλανίτου μυχοῦ  σταδίων μυρίων ˏδ","char-offset:5401","EVENT","","","","","","","","distance|absolute",""
"6c96cc06-97ce-440b-8b4b-55a58796cda1","Diller ocr.txt","παρὰ τὴν Ἀραβίαν πλευρὰν","char-offset:5407","EVENT","","","","","","","","direction|relative",""
"621b9016-295b-4a38-b6a7-837b2865c04a","Diller ocr.txt","τὴν Ἀραβίαν πλευρὰν","char-offset:5412","PLACE","","","","","","","UNVERIFIED","natural feature",""
"74ca4b19-88d2-477b-9e9b-a3f3e6f3de43","Diller ocr.txt","Ἀραβίαν","char-offset:5416","PLACE","http://pleiades.stoa.org/places/746711","Arabia Petraia","-0030/0300","30.328611","35.441944","province","VERIFIED","region",""
"5cc949f7-fb78-4c0a-8304-969d2146af88","Diller ocr.txt","Αἰλανίτου μυχοῦ","char-offset:5436","PLACE","http://pleiades.stoa.org/places/746701","Aelaniticus Sinus","-0030/0300","26.123397249999996","35.938032416666665","water-open","VERIFIED","natural feature|water mass|gulf",""
"05b76b6c-e112-464a-a4ab-fe0b1c4cd27d","Diller ocr.txt","αὐτὴ δὲ ἡ Ἀραβία εἰς τὴν Ἐρυθρὰν καθήκει","char-offset:5472","EVENT","","","","","","","","extent|relative",""
"c612d42c-5431-4ca6-aca9-849eb282c341","Diller ocr.txt","Ἀραβία","char-offset:5482","PLACE","http://pleiades.stoa.org/places/746711","Arabia Petraia","-0030/0300","30.328611","35.441944","province","VERIFIED","region",""
"bedb85ef-e63d-499b-be9e-8d99871636ab","Diller ocr.txt","Ἐρυθρὰν","char-offset:5497","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","natural feature|water mass|sea",""
"74eefa3a-573b-45f1-80bc-f9c346d1591c","Diller ocr.txt","μεμήκυται ἐπὶ σταδίων μυρίων δισχιλίων","char-offset:5517","EVENT","","","","","","","","extent|absolute",""
"74941344-497d-4769-b21f-237fe181e866","Diller ocr.txt","Μῆκος δὲ τῆς οἰκουμένης ἀπὸ Γάγγου εἰς τὰ Γάδειρα σταδίων  μυριάδων ϛ καὶ ˏηφμε","char-offset:5559","EVENT","","","","","","","","extent|absolute",""
"34069905-1649-410e-a79a-65020463270a","Diller ocr.txt","οἰκουμένης","char-offset:5572","PLACE","","","","","","","UNVERIFIED","concept",""
"aea30e3a-316a-4959-97a8-a9c6f93a36f9","Diller ocr.txt","Γάγγου","char-offset:5587","PLACE","http://pleiades.stoa.org/places/59822","Ganges (river)","-0330/0640","25.621435","86.51155633333333","river","VERIFIED","natural feature|water mass|river",""
"bbd7eccd-6015-43e1-adc6-82faf35af6f2","Diller ocr.txt","Γάδειρα","char-offset:5601","PLACE","http://pleiades.stoa.org/places/256177","Gadeira/Gades/Col. Augusta Gaditana|Gades/Gadeira/Col. Augusta Gaditana, Cádiz","-0750/2100","36.528381","-6.294444","arch,theatre,townhouse,settlement","VERIFIED","settlement",""
"5ba8b7e5-84d2-4e2d-a7e0-67c360992177","Diller ocr.txt","ἀπὸ μὲν Γάγγου ποταμοῦ ἕως Μυριάνδρου τῆς ἐν Ἰσσικῷ κόλπῳ σταδίων μυριάδων τεσσάρων καὶ v χιλίων ψκε","char-offset:5646","EVENT","","","","","","","","extent|absolute",""
"2d1ba574-c3af-48cd-8f3e-da6f7cae32e4","Diller ocr.txt","Γάγγου","char-offset:5654","PLACE","http://pleiades.stoa.org/places/59822","Ganges (river)","-0330/0640","25.621435","86.51155633333333","river","VERIFIED","natural feature|water mass|river",""
"8d26081c-291d-434b-b143-99290f34cbe9","Diller ocr.txt","Γάγγου ποταμοῦ","char-offset:5654","PLACE","","","","","","","UNVERIFIED","",""
"13130758-9e6f-476b-ac1b-59aeb4a930d1","Diller ocr.txt","Μυριάνδρου τῆς ἐν Ἰσσικῷ κόλπῳ","char-offset:5673","EVENT","","","","","","","","position|relative",""
