UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMANDERS,NUMBER OF SHIPS,NUMBER OF SOLDIERS
5348cf74-8429-4998-af62-68998073ca79,Catalogue of ships - Il. 2.txt,Kameiros,char-offset:8290,PLACE,http://pleiades.stoa.org/places/589836,"Kamiros|Apollo Erethimios, T.|Ialysos|Ialysus/Ialysos, Trianda, Ialysos|Lindos|Lindos/Lindus, Lindos|Apollo Erethimios, Apollo Erethimios|Rhodos (island)|Rhodos Ins., Rhodos|Rhodos|Rhodos, Rhodos|Kamiros/Camirus, Kamiros, Kalavarda",-1200/2100,36.41451,28.15629,"island,settlement,temple-2,stadion",VERIFIED,Rhodians,Tleptolemos,,
2b7f0241-1a70-42ec-a8a7-f4ee3ed11786,Catalogue of ships - Il. 2.txt,Tlepolemos,char-offset:8350,PERSON,,,,,,,,,,,
023844be-9500-4b0d-8383-4d8fabc56002,Catalogue of ships - Il. 2.txt,Herakles,char-offset:8376,PERSON,,,,,,,,,,,
59fe7e8a-7b07-495d-bea0-be1442b3edc0,Catalogue of ships - Il. 2.txt,Astyochea,char-offset:8397,PLACE,,,,,,,UNVERIFIED,,,,
e8cdd548-3768-468b-b864-210122660055,Catalogue of ships - Il. 2.txt,Ephyra,char-offset:8437,PLACE,http://pleiades.stoa.org/places/573208,Ephyra,,,,settlement,UNVERIFIED,,,,
5c4940b6-1e3f-402a-afef-5f175ac9e9c6,Catalogue of ships - Il. 2.txt,Selleis,char-offset:8458,PLACE,http://pleiades.stoa.org/places/501604,Selleis (river),,40.25,26.75,river,VERIFIED,,,,
a4d88ee1-cdd3-449a-b7dc-1bc6093762c8,Catalogue of ships - Il. 2.txt,Tlepolemos,char-offset:8520,PERSON,,,,,,,,,,,
0a34b30f-bf1a-4638-becb-fa630732b9eb,Catalogue of ships - Il. 2.txt,the sea,char-offset:8726,PLACE,http://dare.ht.lu.se/places/25650,"Holme next the Sea, Hunstanton",,,,,UNVERIFIED,,,,
a394e6d5-442a-4088-af1c-c2958678a75b,Catalogue of ships - Il. 2.txt,Herakles,char-offset:8798,PERSON,,,,,,,,,,,
2f482373-8d8a-45be-a538-8794c994e6b6,Catalogue of ships - Il. 2.txt,Rhodes,char-offset:8876,PLACE,http://pleiades.stoa.org/places/590031,"Kamiros|Apollo Erethimios, T.|Ialysos|Ialysus/Ialysos, Trianda, Ialysos|Lindos|Lindos/Lindus, Lindos|Apollo Erethimios, Apollo Erethimios|Rhodos (island)|Rhodos Ins., Rhodos|Rhodos|Rhodos, Rhodos|Kamiros/Camirus, Kamiros, Kalavarda",-1200/2100,36.41451,28.15629,"island,settlement,temple-2,stadion",VERIFIED,,,,
