sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
51,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Cirtisia,Cirtisia,Cirtisa,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197209,45.285247,18.433879,,station,
52,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Vrbate,Urbas,‘Urbate’,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197567,45.097363,17.515144,,station,
53,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Servitti,Servitium,Servitium,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197509,45.151471,17.25609,,station,
54,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,ad,,Ad Ladios,Ad Ladios,Ad Ladios,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197066,44.843222,17.255353,,station,
55,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Aemate,Aematis,Aemate,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197093,44.6534271333333,17.0335202,,settlement,
56,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Leusaba,Leusaba,Leusaba,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/197350,44.416993,17.083952,,station,
57,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Sarnade,Sarnade,Sarnade,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197496,44.300466,16.866866,,station,
58,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Salviae,Salvia,Salvia,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197490,44.067371,16.779488,,station,
59,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Pelva,Pelva,Pelva,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197431,43.875555,16.7775,,settlement,
60,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Aequo,Aequuum,Aequum,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/197095,43.739278,16.655704,,settlement,
61,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Salonas,Salona,Salona,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/197488,43.539561,16.483426,,settlement,
64,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,,Aquileia,Aquileia,,,,0.0,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,settlement,
65,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Fonte Timavi,Fons Timavi,Fons Timavi,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/187383,45.7903786608938,13.5898629714607,fons,settlement,
66,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Tergeste,Tergestum,Tergeste,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/187578,45.649148,13.7717,,urban,
67,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Ningum,Ningum,Ad Ningum,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/197075,45.336496,13.828551,,station,
68,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Parentium,Parentium,Parentium,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197427,45.227354,13.5948985,,settlement,
69,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Pola,Pola,Pola,m. p.,XXXI,m. p. XXXI,31.0,,https://pleiades.stoa.org/places/197448,44.869567,13.841124,,settlement,
70,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,traiectus sinus Liburnici Iader usque,,,sinus Liburnici,Liburnicus Sinus,Liburnia (region),,,,0.0,,https://pleiades.stoa.org/places/197353,44.4060887994283,15.1291397594546,sinus,region,Trait by sea. It seems like a general route indication rather than Sinus Liburnicus being an actual starting point. 
71,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Iader,Iader,Iader,stadia, CCCCL,stadia CCCCL,450.0,,https://pleiades.stoa.org/places/197312,44.115501,15.223778,,urban,
72,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Blandona,Blandona,Blandona,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/197172,43.986045,15.501533,,station,
73,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Arausa,Arausa,Arausa,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/197133,43.804229,15.79233,,settlement,
75,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Tragurio,Tragurium,Tragurium,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/197555,43.517639,16.25063,,settlement,
76,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,route,,,,Salonas,Salona,Salona,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/197488,43.539561,16.483426,,settlement,
79,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,,,,Aquileia,Aquileia,,,,0.0,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,settlement,
80,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,,,Fonte Timavi,Fons Timavi,Fons Timavi,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/187383,45.7903786608938,13.5898629714607,fons,settlement,
81,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,,,Avesica,Avesica,Avesica,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/187302,45.717745,13.811925,,station,
82,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,ad,,Ad Malum,Ad Malum,Ad Malum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197070,45.580328,13.996584,,station,
83,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,ad,,Ad Titulos,Ad Titulos,Ad Titulos?,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/197087,45.481151,14.251372,,station,
84,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,,,Tharsatico,Tarsatica,Tarsatica,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/197541,45.330309,14.46247,,settlement,
85,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,ad,,Ad Turres,Ad Turres,Ad Turres,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/197088,45.174936,14.689261,turris,station,
86,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,,,Senia,Senia,Senia,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/197505,44.990472,14.900874,,settlement,
87,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,,,Avendone,Avendon,Avendo,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197152,44.940597,15.131095,,station,
88,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,,,Arupio,Arupium,Arupium,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/197143,44.84851,15.268748,,settlement,
90,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,,,Romula,Romula,Romula,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/197477,45.865867,15.666591,,station,
92,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,ad fines,,Ad Fines,Ad Fines,Ad Fines,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/197060,45.634072,16.1159484,,station,
93,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,route,,,,Sisciae,Siscia,Segestica/Siscia,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/197504,45.483168,16.371388,,settlement,
96,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,route,,,,,Augusta Vindelicum/Aelia Augusta,Augusta Vindelicum/Aelia Augusta,,,,0.0,,https://pleiades.stoa.org/places/118580,48.365463,10.894765,,settlement,
97,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,route,,,,Abuzaco,Abodiacum,Abodiacum,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/187242,47.909892,10.909748,,settlement,
98,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,route,,,,Parthano,Parthanum,*Parthanum/*Tartenum,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/187505,47.49237,11.086258,,station,
99,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,route,,,,Veldidena,Veldidena,Veldidena,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/187608,47.253961,11.399902,,settlement,
100,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,route,,,,Vipiteno,Vipitenum,*Vipitenum,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/187621,46.89921,11.431153,,station,
101,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,route,,,,Sublavione,Saebio,‘Sublavione’,m. p.,XXXII,m. p. XXXII,32.0,,https://pleiades.stoa.org/places/187561,46.63961,11.564796,,settlement,
102,,,8. De Italia per Histriam in Dalmatia.,Augusta Vindelicum-Verona,route,,,,Endidae,Endidae,Endidae,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/187368,46.317814,11.273762,,station,
