sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-full,distance_modern,revised_distance,comment,place_uri,latitude,longitude,placetype,placetype_pleiades
333,,50.5-6,1. PROVINCIAE AFRICAE,Carthago-Sufetula-1,sum-route,Item a Cartagine in Bizancio Sufetula usque m. p. CLXXII:,,,Sufetula,Sufetula,Sufetula,m. p.,CLXXII, m. p. CLXXII,,,,https://pleiades.stoa.org/places/324816,35.2410333950941,9.11898906345778,,
343,,52.1-2,1. PROVINCIAE AFRICAE,Carthago-Sufetula-2,sum-route,Item a Cartagine per Adrumetum Sufetula usque m. p. CCX:,,,Cartagine,Carthago,Carthago,,,,,,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,
344,,52.1-2,1. PROVINCIAE AFRICAE,Carthago-Sufetula-2,sum-route,Item a Cartagine per Adrumetum Sufetula usque m. p. CCX:,,,Sufetula,Sufetula,Sufetula,m. p.,CCX, m. p. CCX,,,,https://pleiades.stoa.org/places/324816,35.2410333950941,9.11898906345778,,
354,,53.5,1. PROVINCIAE AFRICAE,Thusdrus-Theveste,sum-route,Item a Thusdro Teveste m. p. CXCV:,,,Thusdro,Thusdrus,Thysdrus,,,,,,,https://pleiades.stoa.org/places/324835,35.2960575,10.707584,,
355,,53.5,1. PROVINCIAE AFRICAE,Thusdrus-Theveste,sum-route,Item a Thusdro Teveste m. p. CXCV:,,,Teveste,Theveste,Theveste,m. p.,CXCV, m. p. CXCV,,,,https://pleiades.stoa.org/places/324831,35.404174,8.1223145,,
364,,54.8,1. PROVINCIAE AFRICAE,Theveste-Tusdrus,sum-route,Item alio itinere a Theveste Thusdro m. p. CLXXXV:,,,Theveste,Theveste,Theveste,,,,,,,https://pleiades.stoa.org/places/324831,35.404174,8.1223145,,
365,,54.8,1. PROVINCIAE AFRICAE,Theveste-Tusdrus,sum-route,Item alio itinere a Theveste Thusdro m. p. CLXXXV:,,,Thusdro,Thusdrus,Thysdrus,m. p.,CLXXXV, m. p. CLXXXV,,,,https://pleiades.stoa.org/places/324835,35.2960575,10.707584,,
375,,55.6,1. PROVINCIAE AFRICAE,Sufes-Hadrumetum,sum-route,Item a Sufibus Adrumetu m. p. CVIII:,,,Sufibus,Sufes,Sufes,,,,,,,https://pleiades.stoa.org/places/324815,35.5433595,9.073196,,
376,,55.6,1. PROVINCIAE AFRICAE,Sufes-Hadrumetum,sum-route,Item a Sufibus Adrumetu m. p. CVIII:,,,Adrumetu,Hadrumetum,Hadrumetum/Iustinianopolis,m. p.,CVIII, m. p. CVIII,,,,https://pleiades.stoa.org/places/324716,35.825866,10.63878,,
382,,55.11,1. PROVINCIAE AFRICAE,Sufetula-Clipea,sum-route,Item a Sufetula Clipea m. p. CCXVI:,,,Sufetula,Sufetula,Sufetula,,,,,,,https://pleiades.stoa.org/places/324816,35.2410333950941,9.11898906345778,,
383,,55.11,1. PROVINCIAE AFRICAE,Sufetula-Clipea,sum-route,Item a Sufetula Clipea m. p. CCXVI:,,,Clipea,Aspis/Clipea,Aspis/Clipea,m. p.,CCXVI, m. p. CCXVI,,,,https://pleiades.stoa.org/places/314892,36.838512,11.115794,,
394,,57.2,1. PROVINCIAE AFRICAE,Carthago-Clipea,sum-route,Item a Cartagine Clipeis m. p. LXXXV:,,,Cartagine,Carthago,Carthago,,,,,,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,
