sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
41,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Thessalonica,Tessalonica,Thessalonica,m. p.,XXVIIII,m. p. XXVIIII,29.0,,https://pleiades.stoa.org/places/491741,40.628342,22.952885,,settlement,
42,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Apollonia,Apollonia Mygdonia,Apollonia,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/491526,40.623703,23.469685,,settlement,
43,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Amphipoli,Amphipolis,Amphipolis,m. p.,XXXII,m. p. XXXII,32.0,,https://pleiades.stoa.org/places/501347,40.8258114808,23.8415794323,,"wall (of a city), city wall, settlement, fort",
44,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Philippis,Philippi,Krenides/Philippi/Col. Augusta Iulia Philippensis,m. p.,XXXII,m. p. XXXII,32.0,,https://pleiades.stoa.org/places/501482,41.0126513396,24.2846372868,,"settlement, archaeological site",
45,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Acontisma,Akontisma,Akontisma,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/501341,40.968007,24.538414,,station (road or coastal),
46,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Otopiso,Topeiros,Topeiros,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/501645,41.079556,24.773105,,settlement,
48,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Inipara sive Pyrsoali,Porsulae,*Porsulae/Maximianopolis,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/501574,41.1284897725,25.3253931414,,settlement,
50,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Traianopoli,Traianopolis,Traianoupolis,m. p.,XXXVII,m. p. XXXVII,37.0,,https://pleiades.stoa.org/places/501649,40.858827,26.0572495,,settlement,
51,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Gypsala,Kypsela,Kypsela,m. p.,XXVIIII,m. p. XXVIIII,29.0,,https://pleiades.stoa.org/places/501489,40.9245125,26.3920505,,settlement,
52,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Syracella,Syrascellae,Syrascell(a)e/Sirogellis,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/501632,40.884037,26.926366,,station (road or coastal),
53,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Apris,Aproi,Aproi/Col. Claudia Aprensis/Nova Theodosiopolis,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/511153,40.969929,27.069889,,settlement,"I am using the coordinates of Omnesviae in this case, since they are slightly more accurate"
54,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Risisto,Resisthon/Bisanthe,Bisanthe/Rhaidestos,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/511187,40.978415,27.508023,,settlement,
55,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Heraclia,Perinthus/Heraclea,Perinthus/Heraclea,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/511357,40.971013,27.952973,,settlement,
56,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Cenofrurio,Cenopurium,Cenofrurio,m. p.,XXIIII,m. p. XXIIII,24.0,,,41.2322499,28.1955952,,unknown,"Coordinates from Örberg, coming from Löhberg’s Index. Absent in Pleiades as far as I can see."
57,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Melantiada,Melantias,Melantias,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/511315,41.028946,28.764683,,station (road or coastal),
58,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Bizantio,Byzantium,Byzantium,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/520985,41.005902,28.9738815,,settlement,
