UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
52f38899-7ade-4ec6-a255-ace299d226b0,anabasis_book3_english.txt,Cretans,char-offset:44340,PLACE,http://pleiades.stoa.org/places/589748,Creta (island),-0750/2100,35.21984439,24.99576997,island,VERIFIED,Crete|collective|ethnic,https://en.wikipedia.org/wiki/Crete,collective,ethnic,,,,,,
7100c59b-2fda-4856-bf7e-02836e12d9c8,anabasis_book3_english.txt,Greeks,char-offset:44580,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
a716cd92-65ae-4cbf-8bbd-50e2701886aa,anabasis_book3_english.txt,Greeks,char-offset:44688,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
b6616d67-da3d-46a9-9085-d962a9da7b20,anabasis_book3_english.txt,Greeks,char-offset:44838,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
7348280c-6ec9-4ffa-bb49-b7f7f4b8a2f4,anabasis_book3_english.txt,Tissaphernes,char-offset:45008,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Tissaphernes.|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
9c062294-2c0c-4490-a39c-6b378a7a2460,anabasis_book3_english.txt,Greeks,char-offset:45103,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
f5dd42f6-0b53-4c47-b69d-18ab2ba7cbd9,anabasis_book3_english.txt,Greeks,char-offset:46901,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
de9e3cd9-e2c0-42e5-80ad-933690a07251,anabasis_book3_english.txt,Greeks,char-offset:47213,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
b4408c5a-607c-41ef-9f4b-90891ee82143,anabasis_book3_english.txt,Greek,char-offset:47688,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
99ddcf76-649d-4fbf-afdb-ea48f9a93e50,anabasis_book3_english.txt,Greeks,char-offset:47905,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
71486d9e-21a8-4e73-ac04-5fb9469253c0,anabasis_book3_english.txt,Greek,char-offset:48530,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
e3d43198-78a9-4654-8004-27ecdccfd810,anabasis_book3_english.txt,Greek,char-offset:48581,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
2e75cb57-063a-4f49-bacd-6228daa38248,anabasis_book3_english.txt,Greeks,char-offset:48721,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
cf8a554a-3592-4034-ad8e-c8eba8e5eaa9,anabasis_book3_english.txt,Tissaphernes,char-offset:49383,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Tissaphernes.|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
35093fff-cade-4c6c-9704-7e0d8ddfc715,anabasis_book3_english.txt,Greeks,char-offset:49600,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
a22e2856-080a-4776-8c1b-cd267d2beee3,anabasis_book3_english.txt,Greeks,char-offset:49868,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
3fdca900-d771-461b-872c-75fe25c32404,anabasis_book3_english.txt,Greek,char-offset:50255,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
32aae4bc-dd22-4bed-af0c-82dde96471ce,anabasis_book3_english.txt,Greeks,char-offset:50288,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
fada67a4-e470-4437-a006-bf40088bda7f,anabasis_book3_english.txt,Persian,char-offset:50340,PLACE,http://geo-kima.org/place/2134,Persian Gulf,,,,,UNVERIFIED,Persian|collective|ethnic|region,https://en.wikipedia.org/wiki/Persians,collective,ethnic,region,,,,,
0bbedce9-bd84-4e37-93b0-c2541ba455a4,anabasis_book3_english.txt,Persian,char-offset:50530,PLACE,http://geo-kima.org/place/2134,Persian Gulf,,,,,UNVERIFIED,Persian|collective|ethnic|region,https://en.wikipedia.org/wiki/Persians,collective,ethnic,region,,,,,
c2392413-b44b-418a-ba56-6717dcd0d059,anabasis_book3_english.txt,Persians,char-offset:50762,PLACE,http://pleiades.stoa.org/places/541063,"Plataea|Plataiai, Kokkla",-0750/0640,38.221019,23.273866,settlement,UNVERIFIED,https://en.wikipedia.org/wiki/Persians.|collective|ethnic|region,https://en.wikipedia.org/wiki/Persians,collective,ethnic,region,,,,,
1c2be54b-9178-4558-9084-f4557d79416a,anabasis_book3_english.txt,Greeks,char-offset:50816,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
